cargo,desde,fuente_inicio,tweet_inicio,causa_fin,hasta,sucesora,tweet_fin,fuente_fin,persona_genero,persona_nombre,persona_twitter,entidad_dependencia,entidad_eleccion_mae,entidad_nombre,entidad_tipo,entidad_sigla,entidad_twitter,entidad_webpage,entidad_desde,entidad_fuente_inicio,entidad_hasta,entidad_sucesoras
Viceministro de Planificación y Coordinación,2021-04-16,https://twitter.com/minplanifica/status/1383228552372383745,https://twitter.com/BoliviaMaes/status/1383289360196378629,,,,,,Hombre,David Guachalla Terrazas,,Ministerio de Planificación del Desarrollo,designación,Viceministerio de Planificación y Coordinación,Viceministerio,VPC,,,,,,
Ministro de Desarrollo Rural y Tierras,2021-04-20,"https://twitter.com/MDRyTOficial/status/1384665118672408578
",https://twitter.com/BoliviaMaes/status/1384748965690810368,Desconocida,2024-03-05,['recWUC3IB9erLPr3z'],https://twitter.com/BoliviaMaes/status/1765664240453431739,https://abi.bo/index.php/component/content/article/34-notas/noticias/gobierno/47826-presidente-posesiona-a-cinco-nuevos-ministros-y-les-pide-compromiso-honestidad-y-trasparencia-con-el-pais?Itemid=101,Hombre,Remmy Rubén Gonzales Atila,,Presidencia del Estado,designación,Ministerio de Desarrollo Rural y Tierras,Ministerio,MDRyT,@MDRyTOficial,,,,,
Viceministro de Lucha contra el Contrabando,2021-04-23,https://twitter.com/mindefbolivia/status/1385759333829517318,https://twitter.com/BoliviaMaes/status/1385835981174099968,Desconocida,2024-07-22,['recCQmgbQyACwQI8c'],https://twitter.com/BoliviaMaes/status/1815658792417124380,https://abi.bo/index.php/component/content/article/38-notas/noticias/seguridad/52928-luis-amilcar-velasquez-asume-como-nuevo-viceministro-de-lucha-contra-el-contrabando?Itemid=101,Hombre,Daniel Pedro Vargas Carrasco,,Ministerio de Gobierno,designación,Viceministerio  de Lucha Contra el Contrabando,Viceministerio,,,,,,,
Alcaldeza de Cobija,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389538867158605828,,,,,,Mujer,Ana Lucía Reis,@UciaAna,,elección popular,Gobierno Autónomo Municipal de Cobija,Gobierno Autónomo Municipal,GAMC,@gamcobija,https://www.cobija.gob.bo,,,,
Gobernador Departamental de Santa Cruz,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389174647514492930,,,,,,Hombre,Luís Fernando Camacho Vaca,@LuisFerCamachoV,,elección popular,Gobierno Autónomo Departamental de Santa Cruz,Gobierno Autónomo Departamental,GADSC,@GobSantaCruz,http://www.santacruz.gob.bo/,,,,
Gobernador Departamental de Beni,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389172885801996288,,,,,,Hombre,José Alejandro Unzueta Shiriqui,,,elección popular,Gobierno Autónomo Departamental de Beni,Gobierno Autónomo Departamental,GADB,@GobernacionBeni,http://www.beni.gob.bo,,,,
Gobernador Departamental de Chuquisaca,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389173137745584132,,,,,,Hombre,Damián Condori Herrera,,,elección popular,Gobierno Autónomo Departamental de Chuquisaca,Gobierno Autónomo Departamental,GADC,@GobernacionCh,https://chuquisaca.gob.bo/,,,,
Alcalde de Sucre,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389538662312984578,,,,,,Hombre,Enrique Leaño,@EnriqueLeano26,,elección popular,Gobierno Autónomo Municipal de Sucre,Gobierno Autónomo Municipal,GAMS,@GAMSucre,https://sucre.bo/,,,,
Alcalde de Tarija,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389538762410057733,,,,,,Hombre,Johnny Torres,,,elección popular,Gobierno Autónomo Municipal de Tarija,Gobierno Autónomo Municipal,GAMT,@TarijaCapital,https://tarija.bo/,,,,
Gobernador Departamental de Potosí,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389174395902386182,,,,,,Hombre,Jhonny Óscar Mamani Gutiérrez,,,elección popular,Gobierno Autónomo Departamental de Potosí,Gobierno Autónomo Departamental,GADP,,http://www.potosi.gob.bo/,,,,
Gobernador Departamental de Pando,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389174144785211400,,,,,,Hombre,Regis Richter Alencar,@RichterRegis,,elección popular,Gobierno Autónomo Departamental de Pando,Gobierno Autónomo Departamental,GADP,@pandogob,http://www.pando.gob.bo/,,,,
Alcalde de La Paz,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389538179120877572,,,,,,Hombre,Iván Arias Durán,@ivanariasduran,,elección popular,Gobierno Autónomo Municipal de La Paz,Gobierno Autónomo Municipal,GAM,@MuniLaPaz,https://www.lapaz.bo/,,,,
Alcalde de Trinidad,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389539001154035715,,,,,,Hombre,Cristhian Miguel Cámara Arratia,,,elección popular,Gobierno Autónomo Municipal de Trinidad,Gobierno Autónomo Municipal,GAMT,,https://www.trinidad.gob.bo/,,,,
Gobernador Departamental de Tarija,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389174899223183363,,,,,,Hombre,Óscar Montes Barzón,@OscarBarzon,,elección popular,Gobierno Autónomo Departamental de Tarija,Gobierno Autónomo Departamental,GADT,,https://www.tarija.gob.bo/,,,,
Gobernador Departamental de Oruro,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389173893055737864,,,,,,Hombre,Johnny Franklin Vedia Rodríguez,,,elección popular,Gobierno Autónomo Departamental de Oruro,Gobierno Autónomo Departamental,GADO,@GAD_OR,https://www.oruro.gob.bo/,,,,
Alcalde de Oruro,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389539173842001921,,,,,,Hombre,Adhemar Willcarani Morales,,,elección popular,Gobierno Autónomo Municipal de Oruro,Gobierno Autónomo Municipal,GAMO,,https://gamoruro.com/,,,,
Alcalde de Potosí,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389539088798257161,,,,,,Hombre,Jhonny Llally Huata,,,elección popular,Gobierno Autónomo Municipal de Potosí,Gobierno Autónomo Municipal,GAMP,,https://potosi.bo,,,,
Alcaldeza de El Alto,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389538318342316035,,,,,,Mujer,Eva Copa Murga,@EvaCopa_Bol,,elección popular,Gobierno Autónomo Municipal de El Alto,Gobierno Autónomo Municipal,GAMEA,@ElAltoAlcaldia,https://www.facebook.com/ElAltoAlcaldia/,,,,
Gobernador Departamental de Cochabamba,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389173389647138820,,,,,,Hombre,Humberto Sánchez Sánchez,,,elección popular,Gobierno Autónomo Departamental de Cochabamba,Gobierno Autónomo Departamental,GADC,@GobernacionCbba,,,,,
Gobernador Departamental de La Paz,2021-05-03,https://www.noticiasfides.com/nacional/politica/santos-quispe-es-el-virtual-gobernador-de-la-paz-cuatro-mesas-fueron-anuladas-409198,https://twitter.com/BoliviaMaes/status/1389173641095569408,,,,,,Hombre,Santos Quispe Quispe,@wayna_mallku,,elección popular,Gobierno Autónomo Departamental de La Paz,Gobierno Autónomo Departamental,GADLP,@gobernacionlp,https://www.lapaz.gob.bo/,,,,
Alcalde de Cochabamba,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389538562660618240,,,,,,Hombre,Manfred Armando Antonio Reyes Villa Bacigalupi,@ManfredBolivia,,elección popular,Gobierno Autónomo Municipal de Cochabamba,Gobierno Autónomo Municipal,GAMC,@gam_cochabamba,http://www.cochabamba.bo/,,,,
Alcalde de Santa Cruz de la Sierra,2021-05-03,https://www.abi.bo/#/noticia/4029,https://twitter.com/BoliviaMaes/status/1389538457131884544,,,,,,Hombre,Max Jhonny Fernández Saucedo,,,elección popular,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Gobierno Autónomo Municipal,GAMSC,@GobMunSC,http://www.gmsantacruz.gob.bo/,,,,
Viceministro de Autonomías,2021-05-15,https://twitter.com/abi_bolivia/status/1393319852555780102,https://twitter.com/BoliviaMaes/status/1393865619322376197,,,,,,Hombre,Álvaro Horacio Ruiz,,Ministerio de la Presidencia,designación,Viceministerio de Autonomías,Viceministerio,,@AutonomiasBol,,,,,
Gerente General de la Gestora Pública de la Seguridad Social de Largo Plazo,2021-05-18,https://twitter.com/EconomiaBo/status/1394739181159690240,https://twitter.com/BoliviaMaes/status/1394916589343068160,,,,,,Hombre,Jaime Durán Chuquimia,@Jaime_Duran,Ministerio de Economía y Finanzas Públicas,designación,Gestora Pública de la Seguridad Social de Largo Plazo,Otro,,@GestoraDe,https://www.gestora.bo/,,,,
Director General Ejecutivo de la AISEM (Agencia de Infraestructura en Salud y Equipamiento Médico),2021-05-24,https://www.abi.bo/#/noticia/5397,https://twitter.com/BoliviaMaes/status/1397089168166166529,Desconocida,2023-02-13,['rec604KubIK5rEOlI'],https://twitter.com/BoliviaMaes/status/1628674215699267587,https://abi.bo/index.php/component/content/article/37-notas/noticias/sociedad/33633-salud-posesiona-juan-carlos-meneses-como-nuevo-director-ejecutivo-de-la-aisem?Itemid=101,Hombre,Javier Christian Fulguera Condori,,Ministerio de Salud y Deportes,designación,Agencia de Infraestructura en Salud y Equipamiento,Otro,AISEM,@AISEM_BOLIVIA,,,,,
Gerente Ejecutivo de EMAPA (Empresa de Apoyo a la Producción de Alimentos),2021-05-26,https://twitter.com/MDPyEPBolivia/status/1397752146754478085,https://twitter.com/BoliviaMaes/status/1397816575076470784,,,,,,Hombre,Franklin Richard Flores Córdova,@FloresCordova1,Ministerio de Desarrollo Productivo y Economía Plural,designación,Empresa de Apoyo a la Producción de Alimentos,Empresa,EMAPA,@EmapaBolivia,,,,,
Gerente Ejecutivo de Mi Teleférico (Empresa Estatal de Transporte por Cable),2021-06-05,https://twitter.com/mopsv_Bolivia/status/1400943168179343360,https://twitter.com/BoliviaMaes/status/1401802278886125570,Desconocida,2023-05-30,['reckxK02cFwqJ4KJ9'],https://twitter.com/BoliviaMaes/status/1663823545451806724,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/37697-martin-quino-huasco-asume-como-nuevo-gerente-ejecutivo-de-la-estatal-mi-teleferico?Itemid=101,Hombre,Simón Sergio Choque Siñani,@Sergio_Choque_S,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Empresa Estatal de Transporte por Cable Mi Teleférico,Empresa,Mi Teleférico,@miteleferico,https://www.miteleferico.bo/,,,,
Gerente General de Bolivia TV (Empresa Estatal de Televisión),2021-06-07,https://twitter.com/vicemincom/status/1402083536274923533,https://twitter.com/BoliviaMaes/status/1402167920755720194,,,,,,Mujer,Rocio Molina Travesi,@chiomoltra,Viceministerio de Comunicación,designación,Empresa Estatal de Televisión “Bolivia Tv”,Empresa,Bolivia Tv,@Canal_BoliviaTV,,,,,
Director Ejecutivo de la Ceass (Central de Abastecimiento de Suministros de Salud),2021-06-28,https://www.minsalud.gob.bo/5742-ministro-auza-posesiona-a-director-del-ceass-y-le-pide-garantice-el-suministro-de-medicamentos-en-la-seguridad-social,https://twitter.com/BoliviaMaes/status/1409778123760091138,,,,,,Hombre,Juan Nacer Villagómez Ledezma,,Ministerio de Salud y Deportes,designación,Central de Abastecimiento de Suministros de Salud,Otro,CEASS,,http://www.ceass.gob.bo/,,,,
Viceministro de Régimen Interior y Policía,2021-06-28,https://twitter.com/MindeGobierno/status/1409586063547400192,https://twitter.com/BoliviaMaes/status/1409776449620480000,Destitución,2022-01-10,['recOBtyhe3kDzjvfC'],https://twitter.com/BoliviaMaes/status/1481004732714041350,https://twitter.com/LaRazon_Bolivia/status/1480571146836004864,Hombre,Nelson Marcelo Cox Mayorga,,Ministerio de Gobierno,designación,Viceministerio de Régimen Interior y Policía,Viceministerio,,,,,,,
Viceministro de Interculturalidad,2021-07-07,http://www.boliviatv.bo/principal/noticia.php?noticia=1ccd607033ef7c7c2448adc9ef409d04&lang=es,https://twitter.com/BoliviaMaes/status/1413050404875689984,,,,,,Hombre,Juan Carlos Cordero Nina,,"Ministerio de Culturas, Descolonización y Despatriarcalización",designación,Viceministerio de Interculturalidad,Viceministerio,,,,2020-11-20,,,
Gerente General de la Caja Nacional de Salud,2021-07-19,https://twitter.com/SaludDeportesBo/status/1417111081223442433,https://twitter.com/BoliviaMaes/status/1417389594912382980,Destitución,2022-04-26,['recIvG0ZqYQAFaveG'],https://twitter.com/BoliviaMaes/status/1521089156440641536,https://twitter.com/soynicoflores/status/1518924513919963136,Hombre,Herland Tejerina Silva,,Ministerio de Salud y Deportes,designación,Caja Nacional de Salud,Caja de Salud,CNS,@CNS_Bolivia,https://www.cns.gob.bo/,,,,
Presidente a.i. del Directorio de la Empresa Misicuni,2021-07-20,https://twitter.com/AmbienteyAgua/status/1417281238168129538,https://twitter.com/BoliviaMaes/status/1417916845160534018,Desconocida,2024-06-30,['recxLDhxusN20BJBq'],https://x.com/BoliviaMaes/status/1807683613032329681,https://abi.bo/index.php/component/content/article/37-notas/noticias/sociedad/52133-posesionan-a-zenon-miranda-como-nuevo-presidente-de-la-empresa-misicuni?Itemid=101,Hombre,Oscar David Zelada Jaldín,,Ministerio de Medio Ambiente y Agua,designación,Empresa Misicuni,Empresa,,,https://www.misicuni.gob.bo/,,,,
Presidente Ejecutivo interino de la ESM (Empresa Siderúrgica del Mutún),2021-07-26,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/9211-Jorge-Alvarado-Rivas-jura-como-nuevo-presidente-de-la-Empresa-Sider%C3%BArgica-del-Mut%C3%BAn?Itemid=101,,,,,,,Hombre,Jorge Alvarado Rivas,,Ministerio de Minería y Metalurgia,designación,Empresa Siderúrgica del Mutún,Empresa,ESM,@esmbolivia,http://www.esm.gob.bo/,,,,
Comandante General Accidental del Ejército,2021-08-07,https://twitter.com/BoliviaEjercito/status/1423845744210071554,https://twitter.com/BoliviaMaes/status/1424273874452090883,Fin interinato,2022-11-01,['rec7eVQgwkOh4HBYF'],https://twitter.com/BoliviaMaes/status/1589633396610895872,,Hombre,Hugo Eduardo Arandia López,,Fuerzas Armadas,designación,Ejercito,Otro,,@BoliviaEjercito,,,,,
Presidente Ejecutivo de YLB (Yacimientos de Litio Bolivianos),2021-08-21,https://twitter.com/Bolivia_MHE/status/1429103939006476290,https://twitter.com/BoliviaMaes/status/1430250532078329866,Desconocida,2023-08-28,['recCFx8w27K9Mbfh1'],https://twitter.com/BoliviaMaes/status/1696235527119258081,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/41096-posesionan-a-karla-calderon-como-nueva-presidenta-ejecutiva-de-ylb?Itemid=101,Hombre,Carlos Humberto Ramos Mamani,,Ministerio de Hidrocarburos y Energías,designación,Empresa Pública Nacional Estratégica de Yacimientos de Litio Bolivianos,Empresa,YLB,@litio_boliviano,,,,,
Viceministro de Tierras,2021-08-27,https://twitter.com/MDRyTOficial/status/1431403084438196235,https://twitter.com/BoliviaMaes/status/1431682272390955013,,,,,,Hombre,Ramiro Guerrero Peñaranda,,Ministerio de Desarrollo Rural y Tierras,designación,Viceministerio de Tierras,Viceministerio,,,,,,,
Director Ejecutivo de la Autoridad de Fiscalización y Control de Pensiones y Seguros (APS),2021-08-28,https://www.eldiario.net/portal/2021/08/28/posesionan-a-rolando-soto-como-director-de-la-aps/,,Desconocida,2021-09-20,['recQmkiG52OGzgl7s'],,https://www.abi.bo/index.php/noticias/economia/12658-Autoridad-de-Pensiones-y-Seguros-designa-a-Mar%C3%ADa-Cruz-como-su-Directora-Ejecutiva,Hombre,Rolando Carlos Soto Villalta,,Ministerio de Economía y Finanzas Públicas,designación,Autoridad de Fiscalización y Control de Pensiones y Seguros,Autoridad de fiscalización,APS,@Bolivia_APS,,,,,
Director General Ejecutivo de la Agencia Boliviana de Correos,2021-08-31,https://twitter.com/mopsv_Bolivia/status/1432812483769683972,https://twitter.com/BoliviaMaes/status/1432817805200613380,,,,,,Hombre,Orlando Pozo Terrazas,@Orlando_Pozito,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Agencia Boliviana de Correos,Otro,Correos,@AGBCorreos,https://www.correos.gob.bo/,,,,
Viceministro de Coca y Desarrollo Integral,2021-09-17,https://twitter.com/MDRyTOficial/status/1439608993853452288,"https://twitter.com/BoliviaMaes/status/1441868800496898051

",Desconocida,2022-06-10,['recG77vohUSlNeIET'],,https://www.ruralytierras.gob.bo/noticia.php?in=8302,Hombre,Juan Pablo Jove Álvarez,,Ministerio de Desarrollo Rural y Tierras,designación,Viceministerio de la Coca y Desarrollo Integral,Viceministerio,VCDI,@cocavcdi,,,,,
Directora Ejecutiva de la Autoridad de Fiscalización y Control de Pensiones y Seguros (APS),2021-09-20,,,,,,,,Mujer,María Esther Cruz López,,Ministerio de Economía y Finanzas Públicas,designación,Autoridad de Fiscalización y Control de Pensiones y Seguros,Autoridad de fiscalización,APS,@Bolivia_APS,,,,,
Comandante General de la Armada,2021-10-04,https://twitter.com/niquitodo/status/1444999006866878471,https://twitter.com/BoliviaMaes/status/1446738992611926017,Fin interinato,2022-11-01,['recfz5cTQeqnenKJv'],https://twitter.com/BoliviaMaes/status/1589635890254860288,,Hombre,Francis Efraín Frank Salazar,,Fuerzas Armadas,designación,Armada,Otro,,@ArmadaBoliviana,,,,,
Jefe de Estado Mayor General Accidental del Comando en Jefe de las Fuerzas Armadas,2021-10-04,https://twitter.com/niquitodo/status/144499900686687847,https://twitter.com/BoliviaMaes/status/1446737286926905346,Fin interinato,2022-11-01,['recxYmaqkkTkyxmun'],https://twitter.com/BoliviaMaes/status/1589632069054906371,,Hombre,Teófilo Medina Zabala,,Fuerzas Armadas,designación,Estado Mayor de las Fuerzas Armadas,Otro,,,,,,,
Comandante en Jefe Accidental de las Fuerzas Armadas,2021-10-04,https://twitter.com/niquitodo/status/1444999006866878471,https://twitter.com/BoliviaMaes/status/1446735811047825410,Fin interinato,2022-11-01,['recwSgac6Qttz3uRD'],https://twitter.com/BoliviaMaes/status/1589630934332088320,,Hombre,Augusto García Lara,,Presidencia del Estado,designación,Fuerzas Armadas,Otro,,@ComandoLas,,,,,
Director Interino del Banco Central de Bolivia,2021-10-07,https://twitter.com/BancoCentralBO/status/1446189833672699905,https://twitter.com/BoliviaMaes/status/1446742142693556225,,,,,,Hombre,Oscar Ferrufino Morro,,Ministerio de Economía y Finanzas Públicas,designación,Banco Central de Bolivia,Otro,BCB,@BancoCentralBO,https://www.bcb.gob.bo/,,,,
Gerente General de la Empresa Metalúrgica Vinto,2021-10-20,https://abi.bo/index.php/component/content/article/51-notas/galeria-fotografica/22684-posesionan-al-nuevo-gerente-general-de-la-empresa-metalurgica-vinto?Itemid=101#gallery74d0d551d8-6,,Desconocida,2022-11-11,['recYASiNd4qBpsQiy'],,,Hombre,Edwin Condori,,Ministerio de Minería y Metalurgia,designación,Empresa Metalúrgica Vinto,Empresa,EMV,,https://www.vinto.gob.bo,2007-02-09,,,
Director General Ejecutivo del SEPREC (Servicio Plurinacional de Registro de Comercio),2021-10-22,https://abi.bo/index.php/component/content/article/51-notas/galeria-fotografica/22753-posesionan-al-nuevo-ejecutivo-del-servicio-plurinacional-de-registro-de-comercio-seprec?Itemid=101,,,,,,,Hombre,Álvaro Ronald Sepúlveda Rivero,,Ministerio de Economía y Finanzas Públicas,designación,Servicio Plurinacional de Registro de Comercio,Otro,SEPREC,https://twitter.com/SEPRECBolivia,https://www.seprec.gob.bo,2021-10-01,https://www.seprec.gob.bo/index.php/mision-vision/,,
Viceministro de Exploración y Explotación de Hidrocarburos,2021-11-11,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/15086-Posesionan-a-Ra%C3%BAl-Mayta-como-viceministro-de-Exploraci%C3%B3n-y-Explotaci%C3%B3n-de-Hidrocarburos?Itemid=101,,,,,,,Hombre,Raúl Daniel Mayta Jiménez,,Ministerio de Hidrocarburos y Energías,designación,Viceministerio de Exploración y Explotación de Hidrocarburos,Viceministerio,VEEH,,,,,,
Director General Ejecutivo del INIAF (Instituto Nacional de Innovación Agropecuaria y Forestal),2021-11-18,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/15493-Posesionan-a-Juan-Carlos-Chura-como-Director-General-Ejecutivo-del-INIAF?Itemid=101,,Desconocida,2024-03-08,['recT9kJGJDl1SU9Zo'],https://twitter.com/BoliviaMaes/status/1767093962903269828,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/47966-windson-july-martinez-asume-como-nuevo-director-del-iniaf?Itemid=101,Hombre,Juan Carlos Chura Sucojayu,,Ministerio de Desarrollo Rural y Tierras,designación,Instituto Nacional de Innovación Agropecuaria y Forestal,Otro,INIAF,@INIAFBolivia,,,,,
Ministro de Educación,2021-11-19,https://twitter.com/abi_bolivia/status/1461689240278949902,https://twitter.com/BoliviaMaes/status/1462875544769515521,Desconocida,2024-03-05,['rec6HIWOJCP5oHI5Y'],https://twitter.com/BoliviaMaes/status/1765666698235953450,https://abi.bo/index.php/component/content/article/34-notas/noticias/gobierno/47826-presidente-posesiona-a-cinco-nuevos-ministros-y-les-pide-compromiso-honestidad-y-trasparencia-con-el-pais?Itemid=101,Hombre,Edgar Pary Chambi,,Presidencia del Estado,designación,Ministerio de Educación,Ministerio,ME,@minedubol,,,,,
Gerente General de SABSA (Servicios de Aeropuertos de Bolivia),2021-12-01,https://www.oopp.gob.bo/gobierno-cumple-con-los-extrabajadores-de-sabsa-y-entrega-el-primer-anticipo-de-pago-de-beneficios-sociales/,,,,,,,Hombre,Willy Severiche Seas,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Servicios de Aeropuertos Bolivianos SA,Otro,SABSA,@BoliviaSabsa,,,,,
Director General Ejecutivo de Navegación Aérea y Aeropuertos Bolivianos,2021-12-01,https://eldeber.com.bo/pais/pozo-asume-como-director-de-naabol-y-ministro-pide-a-aasana-no-dejarse-llevar-por-los-vientos-del-go_257117,https://twitter.com/BoliviaMaes/status/1466337139168354304,,,,,,Hombre,Elmer Pozo Oliva,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Navegación Aérea y Aeropuertos Bolivianos,Otro,NAABOL,,,2021-11-30,,,
Viceministro de Educación Superior y Formación Profesional,2021-12-01,https://twitter.com/abi_bolivia/status/1466133681580523524,https://twitter.com/BoliviaMaes/status/1466334235107729422,,,,,,Hombre,José Luis Gutiérrez,,Ministerio de Educación,designación,Viceministerio de Educación Superior y Formación Profesional,Viceministerio,,,,,,,
Presidente interino de Yacimientos Petrolíferos Fiscales Bolivianos (YPFB),2021-12-23,https://www.la-razon.com/economia/2021/12/23/armin-dorgathen-es-posesionado-como-nuevo-presidente-de-ypfb/,https://twitter.com/BoliviaMaes/status/1474040475183112193,,,,,,Hombre,Armin Ludwing Dorgathen Tapia,,Ministerio de Hidrocarburos y Energías,designación,Yacimientos Petrolíferos Fiscales Bolivianos,Otro,YPFB,@YPFB_corp,,,,,
Viceministro de Régimen Interior y Policía a.i.,2022-01-10,,,Fin interinato,2022-06-19,['rectRu7Gv9uydpar4'],https://twitter.com/BoliviaMaes/status/1538784969161572352,https://eldeber.com.bo/pais/ismael-tellez-jura-como-nuevo-viceministro-de-regimen-interior_282273,Hombre,Bishara Sarras Badawi,,Ministerio de Gobierno,designación,Viceministerio de Régimen Interior y Policía,Viceministerio,,,,,,,
Presidenta Ejecutiva Interina del Directorio de ENFE (Empresa Nacional de Ferrocarriles),2022-02-27,https://www.abi.bo/index.php/component/content/article/36-notas/noticias/economia/43880-firman-convenio-para-construir-en-dos-anos-el-parque-lineal-metropolitano-que-unira-la-paz-y-el-alto,,,,,,,Mujer,Jenny Quispe,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Empresa Nacional de Ferrocarriles,Empresa,ENFE,@ENFE_BOLIVIA,,,,,
Presidente Ejecutivo Interino de ENDE (Empresa Nacional de Electricidad),2022-03-05,https://www.eldia.com.bo/noticia.php?id=349522&id_cat=1,https://twitter.com/BoliviaMaes/status/1500154462815637507,Desconocida,2024-12-31,['recl5HP5241FSXYLY'],https://x.com/BoliviaMaes/status/1874800743879991418,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/59054-posesionan-a-mauricio-arevey-mejia-como-nuevo-presidente-interino-de-ende-corporacion?Itemid=101,Hombre,Manuel Valle Vargas,,Ministerio de Hidrocarburos y Energías,designación,Empresa Nacional de Electricidad,Empresa,ENDE,@ENDECORPORACION,,,,,
Director General Ejecutivo del Senasag (Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria),2022-03-07,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/20312-posesionan-a-javier-suarez-hurtado-como-nuevo-director-general-del-senasag?Itemid=101,,Desconocida,2024-07-01,['recvJUk81JGpca0L7'],https://x.com/BoliviaMaes/status/1808051733844672811,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/52169-posesionan-a-juan-miguel-quiroz-como-nuevo-director-del-senasag?Itemid=101,Hombre,Javier Suárez Hurtado,,Ministerio de Desarrollo Rural y Tierras,designación,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria,Otro,Senasag,@SenasagBolivia,,,,,
Presidente del CNDC (Comité Nacional de Despacho de Carga),2022-03-08,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/20363-fernando-roman-jura-como-presidente-del-comite-nacional-de-despacho-de-carga?Itemid=101,,,,,,,Hombre,Manuel Fernando Román,,Ministerio de Hidrocarburos y Energías,designación,Comité Nacional de Despacho de Carga,Otro,CNDC,,https://www.cndc.bo,,,,
Gerente General de la EBC (Empresa Estratégica Boliviana de Construcción y Conservación de Infraestructura Civil),2022-03-16,https://twitter.com/mopsv_Bolivia/status/1504205144241627138,https://twitter.com/BoliviaMaes/status/1505185026853507079,Desconocida,2023-04-12,['rec3GInBhXru7aG60'],https://twitter.com/BoliviaMaes/status/1647880138871193600,,Hombre,Ernesto Mercado,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Empresa Estratégica Boliviana de Construcción y Conservación de Infraestructura Civil,Empresa,EBC,@ebc_bolivia,https://ebc.gob.bo/,,,,
Gerente General de la Empresa Metalúrgica Karachipampa,2022-04-01,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/20563-posesionan-a-williams-ticona-como-gerente-general-de-la-empresa-metalurgica-karachipampa?Itemid=101,,,,,,,Hombre,Williams Miguel Ticona Aguilera,,Corporación Minera de Bolivia,designación,Empresa Metalúrgica Karachipampa,Empresa,EMK,,http://karachipampa.gob.bo/,,,,
Viceministro de Transportes,2022-04-28,https://abi.bo/index.php/component/content/article/51-notas/galeria-fotografica/21472-posesionan-a-jose-antonio-baldelomar-como-nuevo-viceministro-de-transportes?Itemid=101,,Destitución,2022-05-10,['recc8J4SY75HtcJZO'],,https://www.sinmordazadigital.com/2022/05/10/montano-destituye-del-cargo-al-viceministro-de-transporte-por-ser-pitita/,Hombre,José Antonio Baldelomar Serrano,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Viceministerio de Transporte,Viceministerio,VT,,https://www.oopp.gob.bo/category/transporte/,,,,
Gerente General a.i. de la Empresa Pública Quipus,2022-04-30,https://www.linkedin.com/in/alex-machicado-8804a350/,,,,,,,Hombre,Marco Aurelio Fernandez Capriles,,Ministerio de Desarrollo Productivo y Economía Plural,designación,Empresa Pública Quipus,Empresa,Quipus,https://twitter.com/QuipusBolivia,https://quipus.gob.bo/,2013-10-09,,,
